App,Feature Id,Feature Title,Feature Description,Release Date
Firefox,Feature_00029,Feature_00029,"On Windows, the mouse pointer will disappear while typing if the relevant Windows mouse properties system setting is enabled.",2023-10-24
Firefox,Feature_00030,Feature_00030,Firefox is now available in the Santali (sat) language.,2023-10-24
Firefox,Feature_00031,Feature_00031,"Automated translation of web content is now available to Firefox users! Unlike cloud-based alternatives, translation is done locally in Firefox, so that the text being translated does not leave your machine.",2023-09-26
Firefox,Feature_00032,Feature_00032,Web Audio in Firefox now uses the FDLIBM math library on all systems to improve anonymity with Fingerprint Protection.,2023-09-26
Firefox,Feature_00033,Feature_00033,The visibility of fonts to websites has been restricted to system fonts and language pack fonts to mitigate font fingerprinting in Private Browsing windows.,2023-09-26
Firefox,Feature_00034,Feature_00034,Video Effects and background blur are now available to Firefox users on Google Meet!,2023-09-26
Firefox,Feature_00035,Feature_00035,Firefox Suggest users (US-only at this time) will now be able to see browser add-on suggestions right in the address bar based on their keywords.,2023-09-26
Firefox,Feature_00036,Feature_00036,"Support for credit card autofill has been extended to users running Firefox in the IT, ES, AT, BE, and PL locales.",2023-08-29
Firefox,Feature_00037,Feature_00037,macOS users can now control the tabability of controls and links via about:preferences. Use the tab key to move focus between form controls and links,2023-08-29
Firefox,Feature_00038,Feature_00038,"To avoid undesirable outcomes on sites which specify their own behavior when pressing shift+right-click, Firefox now has a dom.event.contextmenu.shift_suppresses_event preference to prevent the context menu from appearing.",2023-08-29
Firefox,Feature_00039,Feature_00039,Firefox no longer shows its own screen sharing indicator on Wayland desktop environments. The system default sharing indicator will be used instead.,2023-08-29
Firefox,Feature_00040,Feature_00040,"Sidebar switcher allows users to access Bookmarks, History and Synced Tabs panels easily, quickly switch between them, move the sidebar to another side of the browser window, or close the sidebar. Now, keyboard users would be able to do it all with ease too, with or without any assistive technology running, without needing to memorize keyboard shortcuts to access these panels.",2023-08-01
Firefox,Feature_00041,Feature_00041,"When an update is available in English locales, users will now have access to the release notes in the update notification prompt in the form of a ""Learn More"" link.",2023-08-01
Firefox,Feature_00042,Feature_00042,It is now possible to copy any file from your operating system and paste it into Firefox.,2023-08-01
Firefox,Feature_00043,Feature_00043,"You asked, and we listened! The volume slider is now available in Picture-in-Picture.",2023-08-01
Firefox,Feature_00044,Feature_00044,We added the possibility to edit existing text annotations in the PDF reader.,2023-08-01
Firefox,Feature_00045,Feature_00045,"The keyboard shortcut to reopen closed tabs (Ctrl + shift + t or Command + shift + t depending on your operating system) now reopens last closed tab or last closed window, in the order items were closed. If there aren't any tabs or windows to reopen, this command restores the previous session. This change is in anticipation of upcoming changes to recently closed tabs.",2023-08-01
Firefox,Feature_00046,Feature_00046,Migrating from another browser? Now you can bring over payment methods you've saved in Chrome-based browsers to Firefox.,2023-07-04
Firefox,Feature_00047,Feature_00047,Hardware video decoding is now enabled for Intel GPUs on Linux.,2023-07-04
Firefox,Feature_00048,Feature_00048,"The Tab Manager dropdown now features close buttons, so you can close tabs more quickly.",2023-07-04
Firefox,Feature_00049,Feature_00049,We've refreshed and streamlined the user interface for importing data in from other browsers.,2023-07-04
Firefox,Feature_00050,Feature_00050,Users without platform support for H264 video decoding can now fallback to Cisco's OpenH264 plugin for playback.,2023-07-04
Firefox,Feature_00051,Feature_00051,Undo and redo are now available in Password fields.,2023-07-04
Firefox,Feature_00052,Feature_00052,"On Linux, middle clicks on the new tab button will now open the xclipboard contents in the new tab. If the xclipboard content is a URL then that URL is opened, any other text is opened with your default search provider.",2023-07-04
Firefox,Feature_00053,Feature_00053,"For users with a Firefox Colorways built-in theme, the theme will be automatically migrated to the same theme hosted on addons.mozilla.org for Firefox profiles that have disabled add-ons auto-updates. This will allow users to keep their Colorways theme when they are later removed from Firefox installer files.",2023-07-04
Firefox,Feature_00054,Feature_00054,"Certain Firefox users may come across a message in the extensions panel indicating that their add-ons are not allowed on the site currently open. We have introduced a new back-end feature to only allow some extensions monitored by Mozilla to run on specific websites for various reasons, including security concerns.",2023-07-04
Firefox,Feature_00055,Feature_00055,Added UI to manage the DNS over HTTPS exception list.,2023-06-06
Firefox,Feature_00056,Feature_00056,Bookmarks can now be searched from the Bookmarks menu. The Bookmarks menu is accessible by adding the Bookmarks menu button to the toolbar.,2023-06-06
Firefox,Feature_00057,Feature_00057,"Restrict searches to your local browsing history by selecting Search history from the History, Library or Application menu buttons.",2023-06-06
Firefox,Feature_00058,Feature_00058,Mac users can now capture video from their cameras in all supported native resolutions. This enables resolutions higher than 1280x720.,2023-06-06
Firefox,Feature_00059,Feature_00059,It is now possible to reorder the extensions listed in the extensions panel.,2023-06-06
Firefox,Feature_00060,Feature_00060,"Users on macOS, Linux, and Windows 7 can now use FIDO2 / WebAuthn authenticators over USB. Some advanced features, such as fully passwordless logins, require a PIN to be set on the authenticator.",2023-06-06
Firefox,Feature_00061,Feature_00061,"Pocket Recommended content can now be seen in France, Italy, and Spain.",2023-06-06
Firefox,Feature_00062,Feature_00062,DNS over HTTPS settings are now part of the Privacy & Security section of the Settings page and allow the user to choose from all the supported modes.,2023-06-06
Firefox,Feature_00063,Feature_00063,"The Picture-in-Picture feature allows you to pop videos out of their webpages into floating, always on top, windows, so you can watch while continuing to work in other tabs. You can have multiple Picture-in-Picture windows open and move or resize them to your liking.",2023-05-09
Firefox,Feature_00064,Feature_00064,"Firefox's address bar is already a great place to search for what you're looking for.  Now you'll always be able to see your web search terms and refine them while viewing your search's results - no additional scrolling needed! Also, a new result menu has been added making it easier to remove history results and dismiss sponsored Firefox Suggest entries.",2023-05-09
Firefox,Feature_00065,Feature_00065,Private windows now protect users even better by blocking third-party cookies and storage of content trackers.,2023-05-09
Firefox,Feature_00066,Feature_00066,"Passwords automatically generated by Firefox now include special characters, giving users more secure passwords by default.",2023-05-09
Firefox,Feature_00067,Feature_00067,"Firefox 113 introduces a redesigned accessibility engine which significantly improves the speed, responsiveness, and stability of Firefox when used with: Screen readers, as well as certain other accessibility software.Firefox 113 introduces a redesigned accessibility engine which significantly improves the speed, responsiveness, and stability of Firefox when used with: East Asian input methods. Firefox 113 introduces a redesigned accessibility engine which significantly improves the speed, responsiveness, and stability of Firefox when used with: Enterprise single sign-on software. Firefox 113 introduces a redesigned accessibility engine which significantly improves the speed, responsiveness, and stability of Firefox when used with: Other applications which use accessibility frameworks to access information.",2023-05-09
Firefox,Feature_00068,Feature_00068,Importing bookmarks from Safari or a Chrome-based browser? The favicons for those bookmarks will now also be imported by default to make them easier to identify.,2023-05-09
Firefox,Feature_00069,Feature_00069,"Firefox 113 now supports AV1 Image Format files containing animations (AVIS), improving support for AVIF images across the web.",2023-05-09
Firefox,Feature_00070,Feature_00070,The Windows GPU sandbox first shipped in the Firefox 110 release has been tightened to enhance the security benefits it provides.,2023-05-09
Firefox,Feature_00071,Feature_00071,A 13-year-old feature request was fulfilled and Firefox now supports files being drag-and-dropped directly from Microsoft Outlook.,2023-05-09
Firefox,Feature_00072,Feature_00072,Users on macOS can now access the Services sub-menu directly from Firefox context menus.,2023-05-09
Firefox,Feature_00073,Feature_00073,"On Windows, the elastic overscroll effect has been enabled by default. When two-finger scrolling on the touchpad or scrolling on the touchscreen, you will now see a bouncing animation when scrolling past the edge of a scroll container.",2023-05-09
Firefox,Feature_00074,Feature_00074,Firefox is now available in the Tajik (tg) language.,2023-05-09
Firefox,Feature_00075,Feature_00075,"The long-deprecated mozRTCPeerConnection, mozRTCIceCandidate, and mozRTCSessionDescription WebRTC interfaces have been removed. Sites should utilize the non-prefixed versions instead.",2023-05-09
Firefox,Feature_00076,Feature_00076,Right-clicking on password fields now shows an option to reveal the password.,2023-04-11
Firefox,Feature_00077,Feature_00077,"Ubuntu Linux users can now import their browser data from the Chromium Snap package. Currently, this will only work if Firefox is not also installed as a Snap package, but work is underway to address this!",2023-04-11
Firefox,Feature_00078,Feature_00078,"Do you use the tab list panel in the tab bar? If so, you can now close tabs by middle-clicking items in that list.",2023-04-11
Firefox,Feature_00079,Feature_00079,"You've always been able to un-close a tab by using (Cmd/Ctrl)-Shift-T. Now, that same shortcut will restore the previous session if there are no more closed tabs from the same session to re-open.",2023-04-11
Firefox,Feature_00080,Feature_00080,"For all ETP Strict users, we extended the list of known tracking parameters that are removed from URLs to further protect our users from cross-site tracking.",2023-04-11
Firefox,Feature_00081,Feature_00081,Enables overlay of software-decoded video on Intel GPUs in Windows. Improves video down scaling quality and reduces GPU usage.,2023-04-11
Firefox,Feature_00082,Feature_00082,Private windows and ETP set to strict will now include email tracking protection. This will make it harder for email trackers to learn the browsing habits of Firefox users. You can check the Tracking Content in the sub-panel on the shield icon panel.,2023-04-11
Firefox,Feature_00083,Feature_00083,The deprecated U2F Javascript API is now disabled by default. The U2F protocol remains usable through the WebAuthn API. The U2F API can be re-enabled using the security.webauth.u2f preference.,2023-04-11
Firefox,Feature_00084,Feature_00084,Windows native notifications are now enabled.,2023-03-14
Firefox,Feature_00085,Feature_00085,Firefox Relay users can now opt-in to create Relay email masks directly from the Firefox credential manager. You must be signed in with your Firefox Account.,2023-03-14
Firefox,Feature_00086,Feature_00086,We’ve added two new locales: Silhe Friulian (fur) and Sardinian (sc).,2023-03-14
Firefox,Feature_00087,Feature_00087,"It's now possible to import bookmarks, history and passwords not only from Edge, Chrome or Safari but also from Opera, Opera GX, and Vivaldi for all the folks who want to move over to Firefox instead!",2023-02-14
Firefox,Feature_00088,Feature_00088,GPU sandboxing has been enabled on Windows. Note: A bug in the popular X-Mouse Button Control (XMBC) tool may cause mouse wheel scrolling to stop working. Affected users should update to the latest version of XMBC (2.20 or higher) which contains a fix for this issue.,2023-02-14
Firefox,Feature_00089,Feature_00089,"On Windows, third-party modules can now be blocked from injecting themselves into Firefox, which can be helpful if they are causing crashes or other undesirable behavior.",2023-02-14
Firefox,Feature_00090,Feature_00090,"Date, time, and datetime-local input fields can now be cleared with Cmd+Backspace and Cmd+Delete shortcut on macOS and Ctrl+Backspace and Ctrl+Delete on Windows and Linux.",2023-02-14
Firefox,Feature_00091,Feature_00091,GPU-accelerated Canvas2D is enabled by default on macOS and Linux.,2023-02-14
Firefox,Feature_00092,Feature_00092,"WebGL performance improvement on Windows, MacOS and Linux.",2023-02-14
Firefox,Feature_00093,Feature_00093,"Enables overlay of hardware-decoded video with non-Intel GPUs on Windows 10/11, improving video playback performance and video scaling quality.",2023-02-14
Firefox,Feature_00094,Feature_00094,"Colorways are no longer available in Firefox, at least not in the same way. You can still access your saved and active Colorways by selecting Add-ons and themes from the Firefox menu. Additionally, you can now install Colorways from all of the previous collections by visiting Colorways by Firefox on the Mozilla Add-ons website.",2023-02-14
Firefox,Feature_00095,Feature_00095,Manifest Version 3 (MV3) extension support is now enabled by default (MV2 remains enabled/supported). This major update also ushers an exciting user interface change in the form of the new extensions button.,2023-01-17
Firefox,Feature_00096,Feature_00096,"The Arbitrary Code Guard exploit protection has been enabled in the media playback utility processes, improving security for Windows users.",2023-01-17
Firefox,Feature_00097,Feature_00097,"The native HTML date picker for date and datetime inputs can now be used with a keyboard alone, improving its accessibility for screen reader users. Users with limited mobility can also now use common keyboard shortcuts to navigate the calendar grid and month selection spinners.",2023-01-17
Firefox,Feature_00098,Feature_00098,Firefox builds in the Spanish from Spain (es-ES) and Spanish from Argentina (es-AR) locales now come with a built-in dictionary for the Firefox spellchecker.,2023-01-17
Firefox,Feature_00099,Feature_00099,"Effective on January 16, Colorways will no longer be in Firefox. Users will still be able to access saved and active Colorways from the Add-ons and themes menu option.",2023-01-17
Firefox,Feature_00100,Feature_00100,"On macOS, Ctrl or Cmd + trackpad or mouse wheel now scrolls the page instead of zooming. This avoids accidental zooming and matches the behavior of other web browsers on macOS.",2023-01-17
Firefox,Feature_00101,Feature_00101,The Recently Closed section of Firefox View now equips users with the ability to manually close/remove url links from the list.,2023-01-17
Firefox,Feature_00102,Feature_00102,The empty state messages and graphic components surfaced in Firefox View for the Tab Pickup and Recently Closed sections have been updated for an improved user experience.,2023-01-17
Firefox,Feature_00103,Feature_00103,"The ""Tabs sharing devices"" menu item for WebRTC is now located in the tools menu on macOS only",2023-01-05
Firefox,Feature_00104,Feature_00104,"Import maps, which allow web pages to control the behavior of JavaScript imports, are now enabled by default.",2022-12-13
Firefox,Feature_00105,Feature_00105,Processes used for background tabs now use efficiency mode on Windows 11 to limit resource use.,2022-12-13
Firefox,Feature_00106,Feature_00106,"The shift+esc keyboard shortcut now opens the Process Manager, offering a way to quickly identify processes that are using too many resources.",2022-12-13
Firefox,Feature_00107,Feature_00107,Improved frame scheduling when under load; this substantially improves Firefox’s MotionMark scores.,2022-12-13
Firefox,Feature_00108,Feature_00108,Firefox now supports the WebMIDI API and a new experimental mechanism for controlling access to dangerous capabilities.,2022-12-13
Firefox,Feature_00109,Feature_00109,Improved the performance of the instance when Microsoft's IME and Defender retrieve the URL of a focused document in Windows 11 version 22H2.,2022-11-15
Firefox,Feature_00110,Feature_00110,"Power profiling — visualizing performance data recorded from web browsers — is now also supported on Linux and Mac with Intel CPUs, in addition to Windows 11 and Apple Silicon.",2022-11-15
Firefox,Feature_00111,Feature_00111,"It is now possible to edit PDFs: including writing text, drawing, and adding signatures.",2022-10-18
Firefox,Feature_00112,Feature_00112,Setting Firefox as your default browser now also makes it the default PDF application on Windows systems.,2022-10-18
Firefox,Feature_00113,Feature_00113,"You can now pin private windows to your Windows taskbar on Window 10 and Windows 11 for simpler access. Also, private windows have been redesigned to increase the feeling of privacy.",2022-10-18
Firefox,Feature_00114,Feature_00114,Swipe-to-navigate (two fingers on a touchpad swiped left or right to perform history back or forward) now works for Linux users on Wayland.,2022-10-18
Firefox,Feature_00115,Feature_00115,"Text Recognition in images allows users on macOS 10.15 and higher to extract text from the selected image (such as a meme or screenshot). Extracted text is copied to the clipboard in order to share, store, or search—without needing to manually retype everything. This feature is compatible with “VoiceOver,” the built-in macOS screen reader.",2022-10-18
Firefox,Feature_00116,Feature_00116,"""Firefox View"" helps you get back to content you previously discovered. A pinned tab allows you to find and open recently closed tabs on your current device, access tabs from other devices (via our “Tab Pickup” feature), and change the look of the browser (with Colorways).",2022-10-18
Firefox,Feature_00117,Feature_00117,"With the launch of the “Independent Voices” collection, Firefox is introducing 18 new ""Colorways."" You can now access a ""Colorways"" modal experience via ""Firefox View""; each new color is accompanied with a bespoke graphic and a text description that speaks to its deeper meaning.",2022-10-18
Firefox,Feature_00118,Feature_00118,Added an option to print only the current page from the print preview dialog.,2022-09-20
Firefox,Feature_00119,Feature_00119,Firefox now supports partitioned service workers in third-party contexts. You can register service workers in a third-party iframe and it will be partitioned under the top-level domain.,2022-09-20
Firefox,Feature_00120,Feature_00120,Swipe to navigate (two fingers on a touchpad swiped left or right to perform history back or forward) on Windows is now enabled.,2022-09-20
Firefox,Feature_00121,Feature_00121,"Firefox is now compliant with the User Timing L3 specification, which adds additional optional arguments to the performance.mark and performance.measure methods to provide custom start times, end times, duration, and attached details.",2022-09-20
Firefox,Feature_00122,Feature_00122,Searching in large lists for individual items is now 2x faster. This performance enhancement replaces array.includes and array.indexOf with an optimized SIMD version.,2022-09-20
Firefox,Feature_00123,Feature_00123,Subtitles are now available for Disney+ in Picture-in-Picture.,2022-08-23
Firefox,Feature_00124,Feature_00124,"Firefox now supports both the scroll-snap-stop property as well as re-snapping. You can use the scroll-snap-stop property's always and normal values to specify whether or not to pass the snap points, even when scrolling fast. Re-snapping tries to keep the last snap position after any content/layout changes.",2022-08-23
Firefox,Feature_00125,Feature_00125,The Firefox profiler can analyze power usage of a website (Apple M1 and Windows 11 only).,2022-08-23
Firefox,Feature_00126,Feature_00126,"The Firefox UI itself will now be throttled for performance and battery usage when minimized or occluded, in the same way background tabs are.",2022-08-23
Firefox,Feature_00127,Feature_00127,Enabled hardware acceleration on newer AMD cards.,2022-08-01
Firefox,Feature_00128,Feature_00128,Improved responsiveness on macOS during periods of high CPU load by switching to a modern lock API.,2022-07-26
Firefox,Feature_00129,Feature_00129,Do you always forget something? Required fields are now highlighted in PDF forms.,2022-07-26
Firefox,Feature_00130,Feature_00130,Improved performance on high-refresh rate monitors (120Hz+).,2022-07-26
Firefox,Feature_00131,Feature_00131,"Enjoying Picture-in-Picture subtitles feature? It just got better: you can now change subtitles font size directly from the PiP window. Additionally, PiP subtitles are now available at Funimation, Dailymotion, Tubi, Hotstar, and SonyLIV.",2022-07-26
Firefox,Feature_00132,Feature_00132,"Buttons in the Tabs toolbar can now be reached with Tab, Shift+Tab, and Arrow keys.",2022-07-26
Firefox,Feature_00133,Feature_00133,"Windows' ""Make text bigger"" accessibility setting now affects all the UI and content pages, rather than only applying to system font sizes.",2022-07-26
Firefox,Feature_00134,Feature_00134,"Rejoice! You can now conveniently access Firefox, which will now be pinned to the Windows taskbar during installation on Windows 10 and 11. This will also allow for Firefox to be launched quicker after installing.",2022-07-26
Firefox,Feature_00135,Feature_00135,Removed a configuration option to allow SHA-1 signatures in certificates: SHA-1 signatures in certificates—long since determined to no longer be secure enough—are now not supported.,2022-07-26
Firefox,Feature_00136,Feature_00136,Tired of too many windows crowding your screen? You can now disable automatic opening of the download panel every time a new download starts.,2022-06-28
Firefox,Feature_00137,Feature_00137,Firefox now mitigates query parameter tracking when navigating sites if you have enabled strict mode for Enhanced Tracking Protection.,2022-06-28
Firefox,Feature_00138,Feature_00138,"Improved security by moving audio decoding into a separate process with stricter sandboxing, thus improving process isolation.",2022-06-28
Firefox,Feature_00139,Feature_00139,"Reading is now easier with the prefers-contrast media query, which allows sites to detect if the user has requested that web content is presented with a higher (or lower) contrast.",2022-05-31
Firefox,Feature_00140,Feature_00140,It’s your choice! All non-configured MIME types can now be assigned a custom action upon download completion.,2022-05-31
Firefox,Feature_00141,Feature_00141,"Firefox now allows users to use as many microphones as you want, at the same time, during video conferencing. The most exciting benefit is that you can easily switch your microphones at any time (if your conferencing service provider enables this flexibility).",2022-05-31
Firefox,Feature_00142,Feature_00142,"Removed ""subject common name"" fallback support from certificate validation. This fallback mode was previously enabled only for manually installed certificates. The CA Browser Forum Baseline Requirements have required the presence of the ""subjectAltName"" extension since 2012, and use of the subject common name was deprecated in RFC 2818.",2022-05-31
Firefox,Feature_00143,Feature_00143,Firefox's security sandbox now blocks access to the Win32k APIs for Content Processes on Windows.,2022-05-16
Firefox,Feature_00144,Feature_00144,"We now support captions/subtitles display on YouTube, Prime Video, and Netflix videos you watch in Picture-in-Picture. Just turn on the subtitles on the in-page video player, and they will appear in PiP.",2022-05-03
Firefox,Feature_00145,Feature_00145,"Picture-in-Picture now also supports video captions on websites that use WebVTT (Web Video Text Track) format, like Coursera.org, Canadian Broadcasting Corporation, and many more.",2022-05-03
Firefox,Feature_00146,Feature_00146,"On the first run after install, Firefox detects when its language does not match the operating system language and offers the user a choice between the two languages.",2022-05-03
Firefox,Feature_00147,Feature_00147,"Firefox spell checking now checks spelling in multiple languages. To enable additional languages, select them in the text field’s context menu.",2022-05-03
Firefox,Feature_00148,Feature_00148,HDR video is now supported in Firefox on Mac—starting with YouTube! Firefox users on macOS 11+ (with HDR-compatible screens) can enjoy higher-fidelity video content. No need to manually flip any preferences to turn HDR video support on—just make sure battery preferences are NOT set to “optimize video streaming while on battery”.,2022-05-03
Firefox,Feature_00149,Feature_00149,"Hardware accelerated AV1 video decoding is enabled on Windows with supported GPUs (Intel Gen 11+, AMD RDNA 2 Excluding Navi 24, GeForce 30). Installing the AV1 Video Extension from the Microsoft Store may also be required.",2022-05-03
Firefox,Feature_00150,Feature_00150,"Video overlay is enabled on Windows for Intel GPUs, reducing power usage during video playback.",2022-05-03
Firefox,Feature_00151,Feature_00151,Improved fairness between painting and handling other events. This noticeably improves the performance of the volume slider on Twitch.,2022-05-03
Firefox,Feature_00152,Feature_00152,"Scrollbars on Linux and Windows 11 won't take space by default. On Linux, users can change this in Settings. On Windows, Firefox follows the system setting (System Settings > Accessibility > Visual Effects > Always show scrollbars).",2022-05-03
Firefox,Feature_00153,Feature_00153,Firefox now supports credit card autofill and capture in the United Kingdom.,2022-05-03
Firefox,Feature_00154,Feature_00154,"Firefox now ignores less restricted referrer policies—including unsafe-url, no-referrer-when-downgrade, and origin-when-cross-origin—for cross-site subresource/iframe requests to prevent privacy leaks from the referrer.",2022-05-03
Firefox,Feature_00155,Feature_00155,"Firefox has a new focus indicator for links which replaces the old dotted outline with a solid blue outline. This change unifies the focus indicators across form fields and links, which makes it easier to identify the focused link, especially for users with low vision.",2022-05-03
Firefox,Feature_00156,Feature_00156,New users can now set Firefox as the default PDF handler when setting Firefox as their default browser.,2022-05-03
Firefox,Feature_00157,Feature_00157,"Some websites might not work correctly in Firefox version 100 due to Firefox's new three-digit number. You can read about it in our blog post here! See the Mozilla Support article Difficulties opening or using a website in Firefox 100 for possible workarounds you can use. There, you will also find instructions for reporting a broken website so that Mozilla can help fix the problem.",2022-05-03
Firefox,Feature_00158,Feature_00158,"You can now toggle Narrate in ReaderMode with the keyboard shortcut ""n.""",2022-04-05
Firefox,Feature_00159,Feature_00159,You can find added support for search—with or without diacritics—in the PDF viewer.,2022-04-05
Firefox,Feature_00160,Feature_00160,The Linux sandbox has been strengthened: processes exposed to web content no longer have access to the X Window system (X11).,2022-04-05
Firefox,Feature_00161,Feature_00161,Firefox now supports credit card autofill and capture in Germany and France.,2022-04-05
Firefox,Feature_00162,Feature_00162,"Yandex and Mail.ru have been removed as optional search providers in the drop-down search menu in Firefox. If you previously installed a customized version of Firefox with Yandex or Mail.ru, offered through partner distribution channels, this release removes those customizations, including add-ons and default bookmarks. Where applicable, your browser will revert back to default settings, as offered by Mozilla. All other releases of Firefox remain unaffected by the change.",2022-03-14
Firefox,Feature_00163,Feature_00163,"Firefox has a new optimized download flow. Instead of prompting every time, files will download automatically. You’ll find you have a number of options, including: Always Open Similar Files, Show In Folder, Go To Download Page, Copy Download Link, Delete, Remove From History, and Clear Preview Panel.",2022-03-08
Firefox,Feature_00164,Feature_00164,"Firefox allows users to choose from a number of built-in search engines to set as their default. In this release, some users who had previously configured a default engine might notice their default search engine has changed since Mozilla was unable to secure formal permission to continue including certain search engines in Firefox.",2022-03-08
Firefox,Feature_00165,Feature_00165,"On February 8, we expired the 18 colorway themes that shipped along with Firefox 94. This signals the end of a special, limited-time feature set. However, you can hold onto your favorite colorway, as long as you’re using it on the expiration date. In other words, if a colorway is “enabled” in the add-ons manager, that colorway is yours forever.",2022-02-08
Firefox,Feature_00166,Feature_00166,"Beginning February 15, we are releasing 6 brand-new colorways in a special partner collaboration. U.S.-based fans of the film can visit truecolors.firefox.com to activate official Turning Red-inspired Colorways, available exclusively in Firefox for desktop through April 30, 2022. Firefox users who visit the “True Colors” campaign landing page will be able to modify how their web browser looks, with colors and moods inspired by some of the main characters in the film. To enjoy the new Colorways, you’ll need to make sure you upgrade to the latest Firefox 97 version. This collection will be available in the add-ons manager, within the Colorways section.",2022-02-08
